agent_run_id,instance_id,exit_status,resolved,api_calls,instance_cost,mini_version,system,user,assistant,tool,total
00f0603f-62da-4486-b39c-dcf10add0f6c,django__django-13925,Submitted,0,60,0.0755521,2.1.0,1,1,60,59,121
01a53a79-7da0-4a40-9295-a46efa982212,matplotlib__matplotlib-22865,Submitted,1,71,0.13963484000000007,2.1.0,1,1,71,70,143
0378a3d0-9f5f-4f22-9be8-fe87685e01b4,astropy__astropy-7166,Submitted,1,33,0.03243132,2.1.0,1,1,33,32,67
039152ce-a3d0-4fd7-bd64-7850b2df41f8,pytest-dev__pytest-7236,Submitted,1,62,0.05214803200000001,2.1.0,1,1,62,61,125
04c44ba5-1bd5-453c-9fb8-054ff50e470a,django__django-13406,Submitted,0,91,0.10721576999999997,2.1.0,1,1,91,90,183
0555f0f0-261c-43a6-8ded-9e157391a538,scikit-learn__scikit-learn-25102,LimitsExceeded,0,250,0.4049801699999999,2.1.0,1,1,250,250,502
0580547f-2d47-4fc1-81f7-782366474732,sphinx-doc__sphinx-7454,Submitted,1,91,0.07333297400000001,2.1.0,1,1,91,90,183
05a40bd3-f4cc-4ea3-ac57-6e0da4542801,django__django-13569,Submitted,1,45,0.029968229999999995,2.1.0,1,1,45,44,91
06228830-df3c-425d-bf57-1f1a768137c6,sphinx-doc__sphinx-8269,Submitted,1,47,0.06525546,2.1.0,1,1,47,46,95
062c2563-a76f-438d-84d5-4f8a41bea307,django__django-15499,Submitted,1,40,0.027311969999999998,2.1.0,1,1,40,39,81
073619ae-617e-4a7c-b09f-ef762c1c6cfd,scikit-learn__scikit-learn-10908,Submitted,1,111,0.09903902999999999,2.1.0,1,1,111,110,223
07478a49-a653-49d0-94ff-d2936fc73b07,matplotlib__matplotlib-24149,Submitted,1,36,0.031114978,2.1.0,1,1,36,35,73
07bd36bc-0252-4ad1-b8ae-2f6f75685a40,django__django-15814,Submitted,1,37,0.032590972,2.1.0,1,1,37,36,75
0970ff99-e9f0-44a1-bd45-fdbbd39a488c,django__django-16082,Submitted,1,34,0.021253829999999998,2.1.0,1,1,34,33,69
0a35dc4d-90cf-4f31-af60-a0e0f83c9dc2,django__django-11551,Submitted,1,35,0.032354351999999996,2.1.0,1,1,35,34,71
0a5991d3-6b75-4464-84fa-fe3756bca2cd,sphinx-doc__sphinx-7985,Submitted,1,94,0.11689179000000001,2.1.0,1,1,94,93,189
0a91c7d3-b63e-46ae-93b4-5dfccd79542d,django__django-16145,Submitted,1,38,0.03479745000000001,2.1.0,1,1,38,37,77
0c066631-77ee-4ddc-b4a0-12d6cb3470a3,django__django-15957,Submitted,1,86,0.151759714,2.1.0,1,1,86,85,173
0cd156e7-da55-4374-aa36-2192a6598a18,scikit-learn__scikit-learn-14087,Submitted,0,44,0.05182397600000002,2.1.0,1,1,44,43,89
0cf4d9da-a074-47e9-b389-73d34e8aa049,django__django-15503,Submitted,1,112,0.32177431199999995,2.1.0,1,1,112,111,225
0d163864-9756-414e-9dfc-dd4ec7281708,django__django-15572,Submitted,1,25,0.0124935,2.1.0,1,1,25,24,51
0d96f450-d62a-469c-ae42-4f056681b39e,django__django-11490,Submitted,1,55,0.054639112,2.1.0,1,1,55,54,111
0e547836-2a10-4719-83d0-1b439bc91161,pytest-dev__pytest-8399,Submitted,1,58,0.05539178200000001,2.1.0,1,1,58,57,117
0e73e17f-eb41-4232-99c6-dd8aebd6ff8d,django__django-15022,Submitted,1,74,0.11881793400000003,2.1.0,1,1,74,73,149
0eadd093-83dc-4c7d-b18e-ba7d59936aad,sympy__sympy-20438,Submitted,0,84,0.09293930199999999,2.1.0,1,1,84,83,169
0eb66ef5-6094-4d5e-88ad-b336931307bf,django__django-11206,Submitted,1,33,0.04023638799999999,2.1.0,1,2,32,31,66
0f65cb35-3be9-4869-8f2d-2ef139012bd2,astropy__astropy-14182,Submitted,1,75,0.16692836399999994,2.1.0,1,1,75,74,151
0f740e6a-065f-4617-b4d8-78affa84c4ac,django__django-13401,Submitted,1,38,0.026840910000000003,2.1.0,1,1,38,37,77
0f8b91e9-4376-4bf6-81ad-6d160e9e9986,sphinx-doc__sphinx-9230,Submitted,1,132,0.13995041799999997,2.1.0,1,1,132,131,265
101ec3d0-f22a-4701-b710-65f3a9f032ef,sympy__sympy-19954,Submitted,1,22,0.020335176000000003,2.1.0,1,1,22,21,45
1155101f-8940-450f-890f-152e82792b50,django__django-11555,Submitted,1,80,0.10139103,2.1.0,1,1,80,79,161
1191459f-d752-4605-85b5-d034b3ee0267,pytest-dev__pytest-7205,Submitted,1,30,0.025236608,2.1.0,1,1,30,29,61
124e5e3c-4c79-49b4-add4-d4da11e3635a,psf__requests-5414,Submitted,0,34,0.020969790000000002,2.1.0,1,1,34,33,69
12815ec3-9f5e-4de2-b98c-b4dd528e5994,sympy__sympy-24213,Submitted,1,25,0.040515776,2.1.0,1,1,25,24,51
12fe2018-0dba-49d3-9f04-c834e4f2d132,django__django-11239,Submitted,1,33,0.02516398,2.1.0,1,1,33,32,67
130dd06b-2568-4acf-9031-0faf42f46202,django__django-13346,Submitted,1,78,0.08520918,2.1.0,1,1,78,77,157
1410bae4-1c2a-4793-af70-efb30d49f095,django__django-14559,Submitted,1,45,0.05277696200000001,2.1.0,1,1,45,44,91
1510fce2-52f2-4f0e-9a43-204df2678a7d,django__django-15368,Submitted,1,25,0.027762228,2.1.0,1,1,25,24,51
1534a21e-14f1-4058-a253-e2a2e3e90cf0,django__django-15629,Submitted,0,70,0.064357146,2.1.0,1,1,70,69,141
15e8ddc5-b248-4ce0-b8f1-1c58401c9f28,django__django-15569,Submitted,1,42,0.02954427,2.1.0,1,1,42,41,85
16108f6b-4a7b-41b8-a04f-719f7403f9c2,django__django-12774,Submitted,1,45,0.031009650000000007,2.1.0,1,1,45,44,91
1668b9b9-8313-4e2e-9d93-1fa2a08e52be,django__django-16560,Submitted,1,56,0.08370577,2.1.0,1,1,56,55,113
172e7ea3-df88-4cdc-9c07-097009950ce9,matplotlib__matplotlib-26208,Submitted,0,169,0.3168593099999999,2.1.0,1,1,169,168,339
18208e86-dc20-494b-aad1-95b364f51373,sympy__sympy-17655,Submitted,1,57,0.03597519,2.1.0,1,1,57,56,115
18ac2bf0-cfdd-4a0b-bf36-62657d3663b7,django__django-13121,Submitted,1,82,0.0772584,2.1.0,1,1,82,81,165
